Soil Depth,PH,Salnity,OC,N,P,K,Crop,Rainfall,Humidity,Min_Temp,Max_temp,Wind_Speed,Season,Yield
Medium,8.02,0.53,0.52,173.11,21.83,399.17,Cotton,560.7,77,22.1,39.5,23,Kharif,13
Low,7.8,0.55,0.57,158.68,17.45,409.25,Cotton,520,75,22.1,39.9,21.6,Kharif,15
Low,7.9,0.4,0.51,165.58,14.37,401.05,Cotton,520,75,22.1,39.9,21.6,Kharif,15
Low,8,0.42,0.44,183.14,17.11,395.81,Cotton,520,75,22.1,39.9,21.6,Kharif,12
Medium,7.9,0.53,0.37,132.97,18.85,464.89,Cotton,560.7,77,22.1,39.5,23,Kharif,12
Low,7.8,0.47,0.5,149.27,21.13,422.82,Cotton,520,75,22.1,39.9,21.6,Kharif,13
Medium,7.5,0.97,0.99,378.83,34.81,765.28,Cotton,560.7,77,22.1,39.5,23,Kharif,17
Medium,7.8,1.11,0.97,403.92,28.84,633.3,Cotton,560.7,77,22.1,39.5,23,Kharif,20
Medium,7.8,0.97,0.99,429,33.82,660.18,Cotton,560.7,77,22.1,39.5,23,Kharif,20
Medium,7.7,0.99,0.94,403.92,34.81,684.64,Cotton,560.7,77,22.1,39.5,23,Kharif,21
Medium,7.8,1,0.99,429,32.82,684.9,Cotton,560.7,77,22.1,39.5,23,Kharif,20
Medium,7.7,0.96,0.66,454.09,33.82,684.36,Cotton,560.7,77,22.1,39.5,23,Kharif,15
Low,7.5,1.25,0.99,403.92,30.83,765,Cotton,724.9,84,21.1,37.4,29.9,Kharif,20
Low,7.5,0.96,0.83,426.5,30.83,625.22,Cotton,724.9,84,21.1,37.4,29.9,Kharif,17
Medium,7.4,1.04,0.78,401.41,27.85,677.92,Cotton,560.7,77,22.1,39.5,23,Kharif,17
Low,7.8,1.48,0.97,326.14,33.82,576.58,Cotton,589,78.4,20.4,37.1,21.2,Kharif,21
Low,7.7,1.52,0.94,301.06,32.82,702.38,Cotton,589,78.4,20.4,37.1,21.2,Kharif,21
Low,7.7,1.14,0.94,381.34,40.78,698.62,Cotton,589,78.4,20.4,37.1,21.2,Kharif,18
Low,7.6,0.72,0.91,431.51,36.8,711.52,Cotton,589,78.4,20.4,37.1,21.2,Kharif,19
Low,7.8,0.71,0.89,381.34,39.78,719.58,Cotton,589,78.4,20.4,37.1,21.2,Kharif,17
Low,8.1,1.19,0.89,431.51,35.8,748.34,Cotton,589,78.4,20.4,37.1,21.2,Kharif,17
Low,7.6,0.85,1.1,406.43,32.82,711.52,Cotton,589,78.4,20.4,37.1,21.2,Kharif,22
Low,8.2,0.73,0.83,456.6,28.84,651.84,Cotton,589,78.4,20.4,37.1,21.2,Kharif,15
Low,7.7,0.92,0.94,456.6,35.8,690.28,Cotton,589,78.4,20.4,37.1,21.2,Kharif,17
Low,7.8,0.79,0.93,431.51,32.82,711.52,Cotton,589,78.4,20.4,37.1,21.2,Kharif,17
Low,7.9,0.43,0.52,186.91,21.33,491.5,Cotton,724.9,84,21.1,37.4,29.9,Kharif,13
Low,7.8,0.52,0.52,169.47,16.96,396.48,Cotton,724.9,84,21.1,37.4,29.9,Kharif,12
Low,8,0.49,0.47,150.65,18.1,427.53,Cotton,724.9,84,21.1,37.4,29.9,Kharif,11
Low,8,0.55,0.39,136.86,17.4,460.99,Cotton,724.9,84,21.1,37.4,29.9,Kharif,10
Low,7.7,0.53,0.46,155.55,16.06,439.62,Cotton,724.9,84,21.1,37.4,29.9,Kharif,10
Medium,8,0.49,0.45,127.95,17.11,389.63,Cotton,560.7,77,22.1,39.5,23,Kharif,12
Low,7.8,1.05,0.91,429,36.8,680.88,Cotton,724.9,84,21.1,37.4,29.9,Kharif,17
Low,7.6,0.85,0.99,454.09,40.78,790.8,Cotton,724.9,84,21.1,37.4,29.9,Kharif,20
Low,7.6,1.12,0.89,479.18,37.79,758.82,Cotton,724.9,84,21.1,37.4,29.9,Kharif,16
Low,7.9,0.85,0.97,429,31.83,659.9,Cotton,724.9,84,21.1,37.4,29.9,Kharif,19
